"class",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110
1,-0.1889,-0.423,-0.5657,-0.6631,-0.7246,-0.7263,-0.7329,-0.7217,-0.68,-0.6563,-0.6543,-0.6619,-0.6715,-0.6714,-0.6613,-0.6354,-0.1637,-0.2156,-0.2856,-0.3611,-0.4338,-0.4923,-0.5404,-0.5767,-0.5973,-0.6091,-0.6182,-0.6269,-0.6358,-0.643,-0.6466,-0.6444,-0.0505,-0.4149,-0.5602,-0.604,-0.5816,-0.468,-0.3849,-0.2901,-0.1654,-0.0944,-0.0722,-0.07,-0.0714,-0.0569,-0.0293,0.0179,0.25,0.9613,0.9166,0.9389,1.0003,-0.6258,1.6475,-0.2961,1.3934,1.8985,5.7166,0.0985,-0.0862,2.1168,-1.8519,2.2889,0.8889,1.6423,16.667,1.8,0.9333,-0.0833,1.3139,-1.1111,0.0008,0.4706,0.9444,0.5,23.972,0.0001,0.0019,0.0001,0.0014,0.0001,0.0011,0.0001,0.0006,0.0004,0.0008,0,0,0,0.1546,1.1727,0.4609,0.6257,0.0583,16.774,0,1,0,0.5001,22.006,-0.0003,2.9268,0,50,50,50,0.1095,0,0
0,-1.3001,-1.2096,-1.1121,-1.0222,-0.9043,-0.7817,-0.6639,-0.5649,-0.4745,-0.4046,-0.3461,-0.313,-0.2883,-0.292,-0.282,-0.2542,-1.289,-1.2731,-1.2409,-1.1972,-1.1386,-1.0672,-0.9865,-0.9022,-0.8167,-0.7343,-0.6566,-0.5879,-0.528,-0.4808,-0.441,-0.4037,-0.0222,0.1271,0.2576,0.3498,0.4685,0.5711,0.6453,0.6747,0.6844,0.6593,0.6211,0.5498,0.4793,0.3775,0.318,0.2989,0.3226,0.9573,0.9,0.956,1.0014,1.4582,3.3116,-1.6212,4.2693,-0.0029,3.274,0.4299,-0.3704,1.2617,-1.087,1.1929,0.9286,6.5421,15.217,1.15,0.2071,-5.2857,0.9813,-12.065,0.0015,0.9677,0.8346,0.0156,39.378,0.001,0.0021,0.0001,0.0031,0.0001,-0.0006,0,0.0061,0.0041,0.0067,0.0001,0.0052,0.0001,0.5622,0.9254,0.138,0.1782,0.1208,4.4409,1,13.999,0.0566,0.9361,0,0.956,0,0.5791,50,50,50,3.972,0,0
1,-0.916,-0.8679,-0.8211,-0.8644,-1.0361,-1.1931,-1.328,-1.421,-1.4784,-1.5074,-1.8041,-2.0239,-2.0678,-1.9829,-1.743,-1.5264,-1.0225,-0.9916,-0.9575,-0.9389,-0.9583,-1.0053,-1.0698,-1.14,-1.2077,-1.2677,-1.3749,-1.5047,-1.6173,-1.6905,-1.701,-1.6661,0.213,0.2474,0.2728,0.1489,-0.1555,-0.3756,-0.5164,-0.5619,-0.5414,-0.4795,-0.8583,-1.0384,-0.9009,-0.5849,-0.0841,0.2793,0.8571,1.0096,0.9533,1.0096,1.0044,-0.6046,2.1683,0.6043,3.1968,0.4266,0.7793,0.4,-1.3077,3.4667,-11.333,1.4602,0.3982,7.5333,18.833,1.7168,0.8584,-0.1975,5.4,-2.6667,0.0019,0.5035,0.663,0.5,44.637,0.0002,0.0051,0.0003,0.003,0.0002,0.0012,0.0001,-0.0001,-0.0006,0.0019,0,0,0,0.6415,0.4374,-0.3641,-0.7563,0.0208,15,3,0.5466,0.5105,0.3215,0,1.0096,0,0.6913,50,50,50,0.9333,0,0
1,-0.1009,-0.1154,-0.1247,-0.1361,-0.1419,-0.1465,-0.2329,-0.2844,-0.3111,-0.323,-0.323,-0.2954,-0.2839,-0.2725,-0.2669,-0.2506,-0.1086,-0.11,-0.1129,-0.1175,-0.1224,-0.1272,-0.1484,-0.1756,-0.2027,-0.2267,-0.246,-0.2559,-0.2615,-0.2637,-0.2643,-0.2616,0.0154,-0.011,-0.0236,-0.0372,-0.039,-0.0385,-0.1691,-0.2177,-0.2169,-0.1924,-0.154,-0.079,-0.0449,-0.0177,-0.0051,0.0219,1,0.9865,0.9135,0.9788,1.0022,-0.4265,1.5677,0.0788,1.8802,0.1201,1.2523,0.7388,-63.75,0.0915,-7.8947,1.0082,0.4747,11.102,15.028,1.068,0.9567,-0.6364,0.7548,-0.6502,0.0009,1,0.6111,0.5,52.175,0,-0.004,-0.0002,-0.0005,0,-0.0014,-0.0001,0.0023,0.0019,0.0054,0.0001,0.0045,0.0003,0.6716,0.9234,0.1285,0.1615,0.0375,97.08,2,0.6682,1.4965,0.0289,0.5726,-0.0018,0.1539,0,50,50,50,0.4803,0,0
1,0.0837,0.0982,0.114,0.1212,0.1397,0.1495,0.145,0.1407,0.1429,0.1438,0.1444,0.1433,0.1447,0.1411,0.1397,0.1379,0.0225,0.0377,0.0529,0.0666,0.0812,0.0949,0.1049,0.1121,0.1182,0.1233,0.1276,0.1307,0.1335,0.135,0.136,0.1364,0.1223,0.1211,0.1222,0.1091,0.117,0.1092,0.0803,0.0573,0.0493,0.0409,0.0337,0.0252,0.0225,0.0121,0.0076,0.0031,0.6471,1.0163,0.9073,1.0127,1.0039,-1.5757,3.7766,0.3014,2.6778,-0.5508,1.0621,1.1436,-3,0.2723,-0.7143,1.0214,0.9358,12.723,11.126,1.2393,0.9416,-0.2439,3.0446,-0.6494,0.0051,0.9767,0.9673,0.0001,60.542,0.0003,0.0044,0.0002,0.003,0.0001,-0.0002,0,0.0019,0.0005,0.0056,0,0.001,0,1.5164,1.6079,-0.0096,-0.0061,0.3458,6.1176,0,1,0,0.002,0.2001,-0.0005,0.0065,1.5018,50,50,50,0.7426,0,0
1,-0.2664,-0.2633,-0.2578,-0.6471,-1.0109,-1.282,-1.4638,-1.462,-1.5173,-1.5457,-1.4985,-1.4444,-1.4287,-1.357,-1.3173,-1.2695,-0.265,-0.2647,-0.2633,-0.3401,-0.4742,-0.6358,-0.8014,-0.9335,-1.0502,-1.1493,-1.2192,-1.2642,-1.2971,-1.3091,-1.3107,-1.3025,-0.0028,0.0028,0.011,-0.614,-1.0733,-1.2924,-1.3249,-1.057,-0.934,-0.7927,-0.5586,-0.3604,-0.2631,-0.0958,-0.0131,0.0659,0.3077,0.9548,0.9206,0.9385,1.002,-0.0861,1.5674,0.273,4.4081,0.1847,1.1522,0.4211,-65.6,0.1316,-20.5,1.0276,-0.8122,4.7632,11.313,1.011,-0.5801,-143,0.0526,-17.875,0.0025,0.7751,0.0243,0.25,45.293,0,0.0014,0.0001,0.0006,0,-0.0005,0,-0.0005,-0.0005,0.0008,0,-0.0017,0,2.1083,0.4142,-0.6261,-1.1492,0.0458,2.0833,2,0.0951,3.0048,0.0358,0.025,0,0.1361,0.7976,50,50,50,5.5789,0,0
1,-0.1863,-0.3642,-0.4946,-0.592,-0.6448,-0.6269,-0.5619,-0.5205,-0.5101,-0.5073,-0.5264,-0.5609,-0.5593,-0.5572,-0.5404,-0.4836,-0.0388,-0.1039,-0.182,-0.264,-0.3402,-0.3975,-0.4304,-0.4484,-0.4608,-0.4701,-0.4813,-0.4973,-0.5097,-0.5192,-0.5234,-0.5154,-0.295,-0.5206,-0.6252,-0.656,-0.6092,-0.4588,-0.2631,-0.1442,-0.0987,-0.0745,-0.0902,-0.1274,-0.0992,-0.076,-0.034,0.0637,0.125,0.9705,0.9,0.9288,1.0038,1.3928,3.2017,-1.1791,3.0815,0.6423,2.2302,0.2252,-1.6607,0.4148,-3.0592,1.4294,0.2868,0.9659,4.2895,5.5859,1,0,4.4296,0,0.0111,1,1,0.0078,15.141,0.0048,0.0122,0.0002,0.0099,0.0002,0.0012,0,0.0074,0.002,0.0135,0.0002,0.0024,0.0001,0.2928,1.4051,0.5628,0.6827,0.0625,0.4756,1,0.625,0.0539,0.1997,0.8825,-0.9705,44.389,0.787,50,50,50,0,0,0
1,-0.7079,-0.6441,-0.5884,-0.5364,-0.4992,-0.4643,-0.4612,-0.4304,-0.4165,-0.3993,-0.4076,-0.4094,-0.4094,-0.4095,-0.3969,-0.3036,-0.4912,-0.5218,-0.5351,-0.5354,-0.5281,-0.5154,-0.5045,-0.4897,-0.4751,-0.4599,-0.4495,-0.4414,-0.435,-0.4299,-0.4233,-0.3994,-0.4334,-0.2447,-0.1066,-0.0022,0.0579,0.1021,0.0866,0.1186,0.1171,0.1212,0.0837,0.0641,0.0513,0.0409,0.0528,0.1916,0.9474,1.0002,0.95,0.9983,1.0023,0.4847,2.0069,0.256,1.449,-0.4293,1.9687,1.8926,-0.0178,34.227,-0.3226,1.8492,0.9848,40.305,21.29,1.6032,1,0,24.311,0,0.0032,0.9754,0.9075,0.0625,117.03,0.0003,0.0098,0.0003,0.0081,0.0003,0.0017,0.0001,0.0078,0.0069,0.0119,0.0002,0.0063,0.0001,0.6506,0.5616,0.052,0.0842,0.0708,11.484,1,3.4537,0.1022,0.195,0.1729,-0.0019,0.0873,0.9025,50,50,50,0,0,0
1,-0.1879,-0.1965,-0.1858,-0.1657,-0.1577,-0.1583,-0.161,-0.1605,-0.1567,-0.1503,-0.1412,-0.1253,-0.1074,-0.0874,-0.0755,-0.0653,-0.1211,-0.1361,-0.1461,-0.15,-0.1515,-0.1529,-0.1545,-0.1557,-0.1559,-0.1548,-0.1521,-0.1467,-0.1389,-0.1286,-0.118,-0.1074,-0.1337,-0.1206,-0.0794,-0.0314,-0.0122,-0.0109,-0.0131,-0.0096,-0.0016,0.0089,0.0217,0.0428,0.0629,0.0824,0.0849,0.0842,0.8,0.9825,0.9098,0.9758,1.0008,-0.4,5.8784,0.5246,1.6269,-0.5206,1.5766,2.3942,-0.003,4.8986,-0.0061,1.5216,0.9985,9.3913,3.9225,1.1914,0.8488,-0.7903,1.7971,-0.5932,0.0033,0.5463,0.4234,0.0313,36.019,0.0008,0.0031,0,0.0033,0,0.0018,0,0,-0.0031,0.0008,0,-0.0042,-0.0001,2.7621,1.1897,-0.8075,-0.4052,0.0792,14.568,1,1.2418,0.5315,0.1759,0.0801,0,0.0088,1.5772,50,50,50,1.2754,0,0
1,-0.4325,-0.4297,-0.4147,-0.3887,-0.3551,-0.3494,-0.3434,-0.3396,-0.3494,-0.3572,-0.3512,-0.3457,-0.3375,-0.3168,-0.297,-0.2501,-0.2392,-0.2773,-0.3048,-0.3216,-0.3283,-0.3325,-0.3347,-0.3357,-0.3384,-0.3422,-0.344,-0.3443,-0.343,-0.3377,-0.3296,-0.3137,-0.3864,-0.3048,-0.2198,-0.1342,-0.0536,-0.0338,-0.0174,-0.0078,-0.022,-0.03,-0.0144,-0.0028,0.011,0.0419,0.0652,0.1271,0.8947,0.9802,0.9032,0.9584,1.0011,0.887,2.1999,1.1839,5.4751,1.725,5.0292,0.935,-0.7863,1.4625,-1.2299,1.8182,0.3566,1.7875,1.9118,1.8671,0.972,-0.0323,1.55,-0.0535,0.0016,0.8112,0.9688,0.0313,12.005,-0.0001,0.0008,0,0.0003,0,0.0011,0.0001,-0.0008,-0.0007,0,0,-0.0016,0,0.7546,1.042,0.157,0.1784,0.0708,3.8906,0,1,0,0.0863,2.5041,-0.0016,0.035,1.6006,50,50,50,0.05,0,0
